clade	species	ts	te
1	307	63	62
1	308	63	62
2	861	46	41
2	1117	42	41
2	1269	23	14
3	394	85	80
4	1553	79	78
4	1873	77	76
4	1882	76	76
4	1891	75	74
5	387	57	41
5	393	57	47
5	396	47	35
5	655	54	49
5	699	37	32
5	748	54	53
5	820	54	53
5	917	35	27
5	1244	45	37
5	1266	45	38
5	1326	47	41
5	1543	50	48
5	1550	44	37
5	2251	40	35
5	2376	57	46
5	2384	57	45
5	2408	49	49
5	2715	36	32
5	2780	54	53
6	1251	53	50
7	940	90	89
7	2670	90	89
8	1601	87	86
8	1604	83	83
8	1605	83	83
8	1606	82	82
8	1607	82	82
8	1608	82	82
8	1609	86	86
8	1628	85	85
8	1629	81	81
8	1757	103	103
8	1762	102	102
8	1763	102	102
8	1768	103	103
8	1779	100	98
8	1780	99	99
8	1781	101	101
8	1782	101	101
8	1783	100	100
8	1784	89	89
8	1793	102	102
8	1794	103	103
8	1795	102	102
8	1796	103	103
8	1797	103	103
8	1804	102	102
8	1807	102	102
8	1821	102	102
8	1835	99	99
8	1836	98	94
8	1837	100	99
8	1839	92	90
8	1840	98	97
8	1841	101	101
8	1842	101	101
8	1843	100	100
8	1845	103	103
8	1846	92	92
8	1852	92	91
8	1854	80	80
8	1855	79	79
8	1856	90	87
8	1863	86	86
8	1865	85	85
8	1892	81	81
8	1893	81	81
8	1919	86	86
8	1922	83	83
8	1923	83	83
8	1924	82	82
8	1925	82	82
8	1926	82	82
8	1927	90	90
8	1932	88	87
8	1940	80	80
8	1941	79	79
8	1942	90	87
8	1945	86	86
8	1948	85	85
8	1949	84	84
8	1950	84	84
8	1966	81	81
8	1967	81	81
8	1969	87	86
8	1997	111	111
8	2005	110	105
8	2012	109	105
8	2018	108	105
8	2033	104	104
8	2042	107	104
8	2047	107	105
8	2057	107	104
8	2061	104	93
8	2067	104	104
8	2075	104	104
8	2093	105	105
8	2096	105	105
8	2106	104	104
8	2118	99	99
8	2122	105	105
8	2124	104	104
8	2494	87	87
9	421	10	8
9	1275	50	11
10	2006	95	93
10	2018	100	96
11	1411	86	85
11	1412	86	85
12	380	10	5
12	399	42	40
12	611	44	42
12	612	61	10
12	616	79	73
12	687	24	19
12	943	56	25
12	946	7	0
12	947	2	0
12	960	56	32
12	1228	50	48
12	1247	45	43
12	1248	47	46
12	1249	47	46
12	1250	45	43
12	1294	56	52
12	1432	10	0
12	1445	56	10
12	1453	57	57
12	1454	75	75
12	1455	80	73
12	1486	9	4
12	1578	106	105
12	1659	105	105
12	1758	102	102
12	1904	106	106
12	2166	39	36
12	2256	24	10
12	2363	11	8
12	2383	27	24
12	2385	42	0
12	2389	13	8
12	2391	52	16
12	2399	65	19
12	2400	75	66
12	2401	79	75
12	2402	79	76
12	2516	85	80
12	2524	85	80
12	2533	85	80
12	2565	84	82
12	2576	84	80
12	2623	95	95
12	2678	40	26
12	2679	61	17
12	2689	29	28
12	2690	30	30
12	2696	65	46
12	2697	79	75
12	2705	69	66
12	2706	74	73
12	2707	74	73
12	2717	51	43
12	2735	87	87
12	2766	65	57
12	2778	75	66
12	2819	10	8
12	2913	3	0
12	2980	53	45
13	119	89	88
13	120	87	87
13	121	86	86
13	128	85	85
13	129	84	84
13	130	83	83
13	131	82	82
13	132	81	80
13	135	85	85
13	136	84	84
13	137	83	83
13	138	82	82
13	139	81	80
13	191	85	85
13	192	84	84
13	193	83	83
13	194	82	82
13	195	81	80
13	236	22	22
13	379	28	22
13	412	2	0
13	484	8	7
13	495	28	23
13	580	50	39
13	597	18	14
13	642	33	27
13	687	69	19
13	746	12	0
13	851	62	10
13	870	9	4
13	942	62	13
13	945	1	0
13	953	16	0
13	954	12	0
13	955	13	2
13	1147	50	19
13	1748	106	101
13	1997	112	111
13	2005	111	110
13	2012	110	110
13	2018	110	110
13	2042	108	107
13	2047	109	107
13	2057	109	108
13	2061	109	109
13	2067	109	107
13	2096	107	107
13	2106	107	106
13	2533	79	73
13	2534	65	51
13	2535	77	75
13	2536	69	66
13	2538	76	64
13	2541	75	51
13	2544	74	73
13	2545	78	77
13	2548	74	73
13	2552	79	78
13	2553	57	57
13	2556	75	75
13	2557	79	73
13	2558	69	51
13	2565	79	79
13	2570	79	78
13	2576	79	75
13	2647	39	11
13	2722	11	0
13	2752	10	4
13	2867	100	100
13	2868	99	99
13	2869	98	98
13	2870	97	96
13	2871	95	94
13	2872	93	92
13	2889	91	90
13	2992	11	6
13	2994	2	0
14	1327	90	88
14	1743	101	100
14	1767	101	100
14	1789	101	100
14	2061	103	103
14	2081	102	102
14	2106	99	98
14	2109	102	96
14	2119	95	94
14	2120	93	93
14	2121	93	92
14	2122	93	90
14	2124	91	88
15	1760	91	91
15	1761	90	90
15	1767	89	89
16	315	45	41
16	318	45	41
16	323	68	65
16	324	68	65
16	325	65	63
16	326	65	63
16	327	62	61
16	328	62	61
16	329	60	57
16	330	60	57
16	331	57	52
16	332	57	52
16	360	56	41
16	820	46	45
16	1532	56	33
16	2783	58	51
16	2812	63	41
17	38	61	61
17	143	56	56
17	144	56	56
17	145	56	56
17	146	56	56
17	147	56	56
17	152	56	56
17	153	56	56
17	205	100	100
17	352	84	84
17	375	74	74
17	376	74	74
