it	posterior	prior	BD_lik	k_birth	k_death	root_age	death_age	tot_length
0	13397.893051421235	-10.126426389901054	13408.019477811136	1	1	119.0	0.0	15485.0
1000	14450.237676773761	-9.9184002224824148	14460.156076996243	1	1	119.0	0.0	15485.0
2000	16282.792204187655	-31.437874061857226	16314.230078249513	2	6	119.0	0.0	15485.0
3000	16677.012093903399	-18.971337048644429	16695.983430952045	3	2	119.0	0.0	15485.0
4000	15825.454911513792	-15.03752819370202	15840.492439707494	2	2	119.0	0.0	15485.0
5000	16370.371737527947	-31.45762050035988	16401.829358028306	4	4	119.0	0.0	15485.0
6000	15662.279142249312	-13.170086857446325	15675.449229106758	1	2	119.0	0.0	15485.0
7000	17446.476937248583	-32.209684924091924	17478.686622172674	3	5	119.0	0.0	15485.0
8000	17510.840038582413	-26.565999489663728	17537.406038072077	3	4	119.0	0.0	15485.0
9000	16881.573712845406	-19.590205880591441	16901.163918725997	3	2	119.0	0.0	15485.0
