it	posterior	prior	BD_lik	k_birth	k_death	root_age	death_age	tot_length
0	1241.8545161504417	-9.8870874652839298	1251.7416036157256	1	1	119.0	0.0	15485.0
1000	15661.862512799536	-41.887965456152521	15703.75047825569	1	1	119.0	0.0	15485.0
2000	17166.966300370212	-120.11491478517507	17287.081215155387	3	2	119.0	0.0	15485.0
3000	16675.465547561173	-47.241610002036381	16722.707157563207	1	3	119.0	0.0	15485.0
4000	15656.556570444798	-44.460804096871094	15701.017374541669	1	2	119.0	0.0	15485.0
5000	16819.127003852151	-74.563993985288121	16893.690997837439	2	4	119.0	0.0	15485.0
6000	16766.271994738403	-80.251168417431984	16846.523163155834	2	3	119.0	0.0	15485.0
7000	16766.297125848061	-44.044481445809261	16810.341607293871	1	2	119.0	0.0	15485.0
8000	16820.151406815734	-76.142720121067285	16896.294126936802	2	2	119.0	0.0	15485.0
9000	16659.679550954694	-48.75569828347102	16708.435249238166	1	3	119.0	0.0	15485.0
