it	posterior	prior	BD_lik	k_birth	k_death	root_age	death_age	tot_length
0	-3729.1583099432546	-12.90590316823161	-3716.2524067750228	1	1	1928.648547	108.46513899999999	5554.3001020000002
1000	-174.25140569715933	-13.155982655447865	-161.09542304171146	1	1	1928.648547	108.46513899999999	5554.3001020000002
2000	-176.29420334772487	-13.178506444150768	-163.1156969035741	1	1	1928.648547	108.46513899999999	5554.3001020000002
3000	-176.24896346666861	-13.071257874416094	-163.17770559225252	1	1	1928.648547	108.46513899999999	5554.3001020000002
4000	-169.28678958921284	-15.944034328443687	-153.34275526076917	2	1	1928.648547	108.46513899999999	5554.3001020000002
5000	-173.53214933014848	-18.52837940992978	-155.0037699202187	2	2	1928.648547	108.46513899999999	5554.3001020000002
6000	-175.01935979215398	-18.40376194171364	-156.61559785044034	2	2	1928.648547	108.46513899999999	5554.3001020000002
7000	-169.11430478932834	-15.911853823299397	-153.20245096602895	2	1	1928.648547	108.46513899999999	5554.3001020000002
8000	-172.40825657943935	-16.096443502250331	-156.31181307718902	2	1	1928.648547	108.46513899999999	5554.3001020000002
9000	-169.50278206777131	-15.893649489428357	-153.60913257834295	2	1	1928.648547	108.46513899999999	5554.3001020000002
