it	posterior	prior	BD_lik	k_birth	k_death	root_age	death_age	tot_length
0	-2008.9072735775699	-12.795804261132883	-1996.111469316437	1	1	1928.648547	108.46513899999999	5554.3001020000002
1000	-180.08583748152762	-13.047091387990417	-167.03874609353721	1	1	1928.648547	108.46513899999999	5554.3001020000002
2000	-179.63384043552207	-13.013069026052626	-166.62077140946946	1	1	1928.648547	108.46513899999999	5554.3001020000002
3000	-180.36859873910413	-13.061131613466046	-167.30746712563808	1	1	1928.648547	108.46513899999999	5554.3001020000002
4000	-183.92362076571681	-12.991438192756741	-170.93218257296007	1	1	1928.648547	108.46513899999999	5554.3001020000002
5000	-179.81797556457212	-13.032232393499831	-166.78574317107228	1	1	1928.648547	108.46513899999999	5554.3001020000002
6000	-178.48650751176427	-15.927673885517423	-162.55883362624684	2	1	1928.648547	108.46513899999999	5554.3001020000002
7000	-172.83936620536954	-15.766405473318084	-157.07296073205146	2	1	1928.648547	108.46513899999999	5554.3001020000002
8000	-177.10300617617654	-15.720976810269766	-161.38202936590676	2	1	1928.648547	108.46513899999999	5554.3001020000002
9000	-173.79642634399897	-15.720336322322236	-158.07609002167675	2	1	1928.648547	108.46513899999999	5554.3001020000002
